시도,시군구,장애인편의시설종류,위도,경도
서울특별시,영등포구,점자블럭+핸드레일 촉지판,37.509263,126.910801
서울특별시,영등포구,엘리베이터,37.513895,126.903695
서울특별시,영등포구,엘리베이터,37.520246,126.882018
서울특별시,영등포구,엘리베이터,37.526193,126.883081
서울특별시,영등포구,엘리베이터,37.533447,126.891821
서울특별시,영등포구,턱낮추기,37.508955,126.892771
서울특별시,영등포구,엘리베이터,37.541546,126.895135
경상남도,김해시,엘리베이터,35.2369036,128.8378556
경상남도,거제시,경사로,34.88860912,128.6167069
경상남도,거제시,엘리베이터,34.88944152,128.6094016
경상남도,거제시,엘리베이터,34.89303358,128.6302802
경기도,부천시,엘리베이터,37.50573381,126.7758799
대구광역시,북구,경사로,35.896916,128.513164
인천광역시,남동구,엘리베이터,37.464795,126.698904
인천광역시,남동구,경사로,37.45042788,126.7398942
인천광역시,남동구,경사로,37.44730181,126.7347827
인천광역시,남동구,경사로,37.421407,126.729529
인천광역시,남동구,경사로,37.40983956,126.7134086
인천광역시,남동구,경사로,37.44354495,126.7656959
인천광역시,인주대로,경사로,37.449083,126.723996
인천광역시,남동구,경사로,37.40399921,126.7227649
인천광역시,남동구,경사로,37.40554215,126.7362082
인천광역시,남동구,엘리베이터,37.40360418,126.7088091
인천광역시,남동구,엘리베이터,37.384457,126.7052872
부산광역시,해운대구,경사로,35.17764981,129.1684825
부산광역시,해운대구,엘리베이터,35.16557349,129.1381373
인천광역시,서구,경사로,37.515017,126.6799321
인천광역시,서구,경사로,37.520034,126.681253
인천광역시,서구,경사로,37.594599,126.687675
인천광역시,서구,경사로,37.592208,126.704381
인천광역시,서구,경사로,37.609398,126.670269
인천광역시,서구,엘리베이터+경사로,37.53603023,126.6548661
인천광역시,서구,엘리베이터+경사로,37.529964,126.654881
인천광역시,서구,엘리베이터+경사로,37.536123,126.642651
강원도,강릉시,경사로,37.76463753,128.8769489
강원도,강릉시,점자블럭,37.76001124,128.8711276
경상남도,김해시,엘리베이터,35.252044,128.867447
경상남도,김해시,엘리베이터,35.264838,128.863084
경상남도,김해시,엘리베이터,35.260544,128.865325
경상남도,김해시,엘리베이터,35.24435875,128.8642617
인천광역시,서구,경사로,37.491498,126.675333
인천광역시,서구,경사로,37.495707,126.675578
인천광역시,서구,경사로,37.503022,126.676031
인천광역시,서구,경사로,37.509741,126.676415
인천광역시,서구,경사로,37.513385,126.676626
인천광역시,서구,경사로,37.517452,126.677363
인천광역시,서구,경사로,37.522883,126.684063
인천광역시,서구,경사로,37.505917,126.678566
전라북도,완주군,엘리베이터,35.8190696,127.0441221
경기도,수원시,엘리베이터+경사로,37.27831028,127.0681819
경기도,수원시,경사로,37.26579489,126.9504993
경기도,수원시,경사로,37.27202406,126.9457173
경기도,수원시,경사로,37.2736145,126.9444852
경기도,수원시,경사로,37.28135952,126.9925868
경기도,수원시,경사로,37.2868358,126.9777941
경기도,수원시,경사로,37.2884214,126.9790385
경기도,수원시,엘리베이터,37.2659137,127.0016871
경기도,수원시,경사로,37.28347335,127.0393624
경기도,수원시,경사로,37.28720316,127.0269927
경기도,수원시,경사로,37.2739591,127.0371102
경기도,수원시,경사로,37.26931703,127.034412
경기도,수원시,엘리베이터,37.25939225,127.0364507
경기도,수원시,경사로,37.25686099,127.0744662
경기도,수원시,엘리베이터+에스컬레이터,37.25149899,127.0702949
경기도,수원시,경사로,37.2664538,127.081651
경기도,수원시,경사로,37.26153322,127.0395242
경기도,수원시,점자블럭,37.24116294,127.0653941
경기도,수원시,엘리베이터,37.27814864,127.0513981
강원도,동해시,경사로,37.515011,129.1041113
경상북도,김천시,엘리베이터,36.122942,128.115125
경상북도,김천시,엘리베이터,36.135036,128.113991
경기도,수원시,경사로,37.29743078,126.9898152
경기도,수원시,경사로,37.2965283,126.9954537
경기도,수원시,엘리베이터,37.3095764,126.9864004
경기도,수원시,엘리베이터,37.29877142,126.981574
경기도,수원시,경사로,37.25513574,127.0349022
경기도,수원시,경사로,37.27874842,126.9758428
경기도,수원시,엘리베이터,37.2857316,126.9687174
경기도,수원시,엘리베이터,37.28262997,126.9701183
경기도,수원시,엘리베이터+경사로,37.24687115,127.0362901
경기도,수원시,경사로,37.24853085,127.0388384
경기도,수원시,엘리베이터,37.28301082,126.9667019
경기도,수원시,엘리베이터,37.24655721,126.9684672
경기도,수원시,엘리베이터,37.2430291,126.9784643
경기도,수원시,엘리베이터,37.26631532,126.993018
경기도,수원시,엘리베이터,37.2455422,127.0388226
경기도,오산시,경사로,37.131121,127.072106
경기도,오산시,경사로,37.147519,127.048101
경기도,오산시,경사로,37.132856,127.085193
경기도,오산시,엘리베이터+점자블럭,37.180454,127.043843
경기도,오산시,엘리베이터+점자블럭,37.178713,127.045499
경기도,오산시,엘리베이터+점자블럭,37.170033,127.056151
경기도,오산시,엘리베이터+점자블럭,37.172774,127.062813
